name, author, source, license of the dataset
- N95 Face Mask, Coffee124, https://www.kaggle.com/datasets/coffee124/facemaskn95, CC0: Public Domain

- Face Mask Classification, D. Makwana, https://www.kaggle.com/datasets/dhruvmak/face-mask-detection, Unknown

- Face mask Detection dataset, Firebee, https://www.kaggle.com/datasets/firebee/face-mask-detection-dataset, Unknown

- Face_Mask_Dataset, C. Deb, https://www.kaggle.com/datasets/chandrikadeb/face-mask-dataset, Open Database

- face mask1, taochunlsm, https://www.kaggle.com/datasets/taochunlsm/face-mask1, Unknown

- Face_mask_dataset, rahul_kumar_gupta123, https://www.kaggle.com/datasets/rahulkumargupta123/face-mask-dataset, Unknown

- facemask datasets, nasser61010, https://www.kaggle.com/datasets/nasser61010/facemask-datasets, Unknown

- face_mask_detection, J. Corby, https://www.kaggle.com/datasets/jamescorby/face-mask-detection, Unknown







